                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8892,                 3.9875,                 4.2592,                0.00179,                  0.175,                0.00315,                0.00097,                 3.8623,                  4.886,                  4.159,                0.00016,                0.00016,                0.00016
                      2,                 3.6685,                 3.8913,                 4.2027,                0.00179,                  0.175,                 0.0022,                0.00065,                 3.8567,                 4.8761,                 4.1551,             0.00032317,             0.00032317,             0.00032317
                      3,                  3.866,                 3.6501,                 4.1463,                0.00179,                  0.175,                0.00187,                0.00066,                 3.8417,                 4.8496,                 4.1462,             0.00046852,             0.00046852,             0.00046852
                      4,                 3.6448,                  3.706,                 4.1309,                0.00179,                  0.175,                0.00298,                0.00072,                 3.8195,                 4.8051,                 4.1345,             0.00059605,             0.00059605,             0.00059605
                      5,                 3.7463,                 3.5594,                 4.0395,                0.00179,                  0.175,                0.00203,                0.00064,                 3.8037,                 4.6564,                  4.134,             0.00070576,             0.00070576,             0.00070576
                      6,                 3.5336,                 3.3074,                 3.8956,                0.00179,                  0.175,                 0.0017,                0.00055,                 3.8401,                 4.6624,                 4.1444,             0.00079765,             0.00079765,             0.00079765
                      7,                 3.5497,                 3.3487,                 3.8174,                0.00179,                  0.175,                0.00171,                0.00073,                 3.9814,                 4.6122,                 4.1961,             0.00087172,             0.00087172,             0.00087172
                      8,                 3.5112,                 3.3639,                 3.7102,                0.00179,                  0.175,                0.00173,                0.00058,                 3.9721,                  4.576,                 4.1892,             0.00092797,             0.00092797,             0.00092797
                      9,                 3.5154,                 3.4395,                 3.6824,                0.00179,                  0.175,                0.00167,                0.00063,                 4.0384,                 4.4046,                 4.2786,              0.0009664,              0.0009664,              0.0009664
                     10,                 3.4269,                 3.1377,                 3.5305,                0.00401,                  0.125,                0.00247,                0.00111,                 4.0953,                 4.3548,                 4.3302,             0.00098701,             0.00098701,             0.00098701
                     11,                 3.2773,                 3.3425,                 3.4647,                0.00405,                  0.125,                0.00277,                0.00125,                 4.0416,                 4.3665,                 4.3093,              0.0009898,              0.0009898,              0.0009898
                     12,                 3.3216,                 3.3592,                 3.4594,                0.00304,                    0.1,                0.00184,                0.00051,                 3.8228,                 6.1838,                 4.3454,               0.000911,               0.000911,               0.000911
                     13,                 3.1969,                 3.2771,                 3.3548,                0.00179,                   0.05,                0.00099,                0.00033,                 3.7859,                 6.8093,                 4.8215,               0.000911,               0.000911,               0.000911
                     14,                 3.0476,                 3.4197,                 3.3117,                0.00179,                  0.175,                0.00142,                0.00042,                 3.9326,                 5.6405,                 3.8632,               0.000812,               0.000812,               0.000812
                     15,                 3.0787,                 3.3178,                 3.3091,                0.00179,                  0.175,                 0.0026,                0.00092,                 3.5317,                 4.8009,                 3.7287,               0.000713,               0.000713,               0.000713
                     16,                 3.0723,                 3.1668,                  3.253,                0.00279,                  0.175,                0.00222,                0.00111,                 3.5972,                 4.4382,                 3.7642,               0.000614,               0.000614,               0.000614
                     17,                 2.9588,                 3.2205,                 3.2284,                0.00264,                  0.175,                0.00231,                0.00126,                  3.477,                 4.4947,                 3.6829,               0.000515,               0.000515,               0.000515
                     18,                 3.0258,                 3.1938,                 3.2079,                0.00202,                  0.175,                0.00234,                0.00135,                  3.225,                 4.5925,                 3.4935,               0.000416,               0.000416,               0.000416
                     19,                 2.8717,                 3.1541,                 3.1768,                0.00182,                  0.175,                0.00598,                0.00196,                 2.9636,                 4.5539,                 3.3865,               0.000317,               0.000317,               0.000317
                     20,                 2.9318,                 3.0448,                 3.1514,                0.00231,                  0.225,                0.00622,                0.00216,                 3.0104,                 4.2569,                 3.3325,               0.000218,               0.000218,               0.000218
